[2026-02-13 19:39:36.444415] Spot Status: FREE
[2026-02-13 19:39:38.515515] Spot Status: FREE
[2026-02-13 19:39:40.501308] Spot Status: OCCUPIED
[2026-02-13 19:39:42.530601] Spot Status: OCCUPIED
[2026-02-13 19:39:44.525151] Spot Status: OCCUPIED
[2026-02-13 19:39:46.580498] Spot Status: FREE
[2026-02-13 19:39:48.698976] Spot Status: FREE
[2026-02-13 19:39:50.726597] Spot Status: FREE
[2026-02-13 19:39:52.801658] Spot Status: FREE
[2026-02-13 19:39:54.873456] Spot Status: FREE
[2026-02-13 19:39:56.945794] Spot Status: FREE
[2026-02-13 19:39:59.022122] Spot Status: FREE
[2026-02-13 19:40:01.092914] Spot Status: FREE
[2026-02-13 19:40:03.166120] Spot Status: FREE
[2026-02-13 19:40:05.240076] Spot Status: FREE
[2026-02-13 19:40:07.312038] Spot Status: FREE
[2026-02-13 19:40:09.385142] Spot Status: FREE
[2026-02-13 19:40:11.470338] Spot Status: FREE
[2026-02-13 19:40:13.531265] Spot Status: FREE
[2026-02-13 19:40:15.604780] Spot Status: FREE
[2026-02-13 19:40:17.678382] Spot Status: FREE
[2026-02-13 19:40:19.753852] Spot Status: FREE
[2026-02-13 19:40:21.824216] Spot Status: FREE
[2026-02-13 19:40:23.914740] Spot Status: FREE
[2026-02-13 19:40:25.970438] Spot Status: FREE
[2026-02-13 19:40:28.082720] Spot Status: FREE
[2026-02-13 19:40:30.117484] Spot Status: FREE
[2026-02-13 19:40:32.189533] Spot Status: FREE
[2026-02-13 19:40:34.484962] Spot Status: FREE
[2026-02-13 19:40:36.336817] Spot Status: FREE
[2026-02-13 19:40:38.409521] Spot Status: FREE
[2026-02-13 19:40:40.559700] Spot Status: FREE
[2026-02-13 19:40:42.556035] Spot Status: FREE
[2026-02-13 19:40:44.655579] Spot Status: FREE
[2026-02-13 19:40:46.703894] Spot Status: FREE
[2026-02-13 19:40:48.796517] Spot Status: FREE
[2026-02-13 19:40:50.853591] Spot Status: FREE
[2026-02-13 19:40:53.015155] Spot Status: FREE
[2026-02-13 19:40:55.052039] Spot Status: FREE
[2026-02-13 19:40:57.068013] Spot Status: FREE
[2026-02-13 19:40:59.184412] Spot Status: FREE
[2026-02-13 19:41:01.229985] Spot Status: FREE
2026-02-14 01:06:49.665345 | parking/spot1/status | FREE
2026-02-14 01:06:49.674276 | parking/spot1/type | NONE
2026-02-14 01:06:49.675180 | parking/co2 | 129
2026-02-14 01:06:50.722357 | parking/spot1/status | FREE
2026-02-14 01:06:50.732191 | parking/spot1/type | NONE
2026-02-14 01:06:50.733062 | parking/co2 | 58
2026-02-14 01:06:51.894955 | parking/spot1/status | FREE
2026-02-14 01:06:52.070155 | parking/spot1/type | NONE
2026-02-14 01:06:52.071067 | parking/co2 | 0
2026-02-14 01:06:52.900840 | parking/spot1/status | FREE
2026-02-14 01:06:52.929238 | parking/spot1/type | NONE
2026-02-14 01:06:52.930106 | parking/co2 | 59
2026-02-14 01:06:53.940648 | parking/spot1/status | FREE
2026-02-14 01:06:54.059256 | parking/spot1/type | NONE
2026-02-14 01:06:54.060108 | parking/co2 | 10
2026-02-14 01:06:54.951763 | parking/spot1/status | FREE
2026-02-14 01:06:55.082720 | parking/spot1/type | NONE
2026-02-14 01:06:55.083579 | parking/co2 | 128
2026-02-14 01:06:56.011790 | parking/spot1/status | FREE
2026-02-14 01:06:56.024013 | parking/spot1/type | NONE
2026-02-14 01:06:56.024860 | parking/co2 | 161
2026-02-14 01:06:57.070230 | parking/spot1/status | FREE
2026-02-14 01:06:57.080279 | parking/spot1/type | NONE
2026-02-14 01:06:57.081132 | parking/co2 | 74
2026-02-14 01:06:58.127295 | parking/spot1/status | FREE
2026-02-14 01:06:58.132790 | parking/spot1/type | NONE
2026-02-14 01:06:58.133648 | parking/co2 | 0
2026-02-14 01:06:59.183480 | parking/spot1/status | FREE
2026-02-14 01:06:59.193502 | parking/spot1/type | NONE
2026-02-14 01:06:59.194371 | parking/co2 | 0
2026-02-14 01:07:00.242608 | parking/spot1/status | FREE
2026-02-14 01:07:00.247688 | parking/spot1/type | NONE
2026-02-14 01:07:00.248682 | parking/co2 | 0
2026-02-14 01:07:01.297480 | parking/spot1/status | FREE
2026-02-14 01:07:01.303844 | parking/spot1/type | NONE
2026-02-14 01:07:01.304688 | parking/co2 | 0
2026-02-14 01:07:02.439966 | parking/spot1/status | FREE
2026-02-14 01:07:02.491434 | parking/spot1/type | NONE
2026-02-14 01:07:02.492292 | parking/co2 | 0
2026-02-14 01:07:03.408342 | parking/spot1/status | FREE
2026-02-14 01:07:03.415786 | parking/spot1/type | NONE
2026-02-14 01:07:03.416730 | parking/co2 | 0
2026-02-14 01:07:04.473848 | parking/spot1/status | FREE
2026-02-14 01:07:04.492265 | parking/spot1/type | NONE
2026-02-14 01:07:04.493123 | parking/co2 | 20
2026-02-14 01:07:05.569632 | parking/spot1/status | FREE
2026-02-14 01:07:05.573282 | parking/spot1/type | NONE
2026-02-14 01:07:05.574061 | parking/co2 | 7
2026-02-14 01:07:06.581746 | parking/spot1/status | FREE
2026-02-14 01:07:06.602970 | parking/spot1/type | NONE
2026-02-14 01:07:06.603834 | parking/co2 | 106
2026-02-14 01:07:07.639544 | parking/spot1/status | FREE
2026-02-14 01:07:07.647423 | parking/spot1/type | NONE
2026-02-14 01:07:07.648211 | parking/co2 | 171
2026-02-14 01:07:08.698483 | parking/spot1/status | FREE
2026-02-14 01:07:08.706602 | parking/spot1/type | NONE
2026-02-14 01:07:08.707387 | parking/co2 | 90
2026-02-14 01:07:09.753516 | parking/spot1/status | FREE
2026-02-14 01:07:09.765933 | parking/spot1/type | NONE
2026-02-14 01:07:09.766797 | parking/co2 | 61
2026-02-14 01:07:10.810796 | parking/spot1/status | FREE
2026-02-14 01:07:10.830674 | parking/spot1/type | NONE
2026-02-14 01:07:10.831555 | parking/co2 | 87
2026-02-14 01:07:11.864077 | parking/spot1/status | FREE
2026-02-14 01:07:11.946858 | parking/spot1/type | NONE
2026-02-14 01:07:11.947697 | parking/co2 | 105
2026-02-14 01:07:12.925395 | parking/spot1/status | FREE
2026-02-14 01:07:12.932280 | parking/spot1/type | NONE
2026-02-14 01:07:12.933116 | parking/co2 | 139
2026-02-14 01:07:13.983237 | parking/spot1/status | FREE
2026-02-14 01:07:13.989081 | parking/spot1/type | NONE
2026-02-14 01:07:13.989917 | parking/co2 | 85
2026-02-14 01:07:15.040866 | parking/spot1/status | FREE
2026-02-14 01:07:15.085859 | parking/spot1/type | NONE
2026-02-14 01:07:15.086718 | parking/co2 | 130
2026-02-14 01:07:16.119311 | parking/spot1/status | FREE
2026-02-14 01:07:16.128029 | parking/spot1/type | NONE
2026-02-14 01:07:16.128892 | parking/co2 | 143
2026-02-14 01:07:17.153963 | parking/spot1/status | FREE
2026-02-14 01:07:17.165419 | parking/spot1/type | NONE
2026-02-14 01:07:17.166253 | parking/co2 | 107
2026-02-14 01:07:18.215018 | parking/spot1/status | FREE
2026-02-14 01:07:18.237065 | parking/spot1/type | NONE
2026-02-14 01:07:18.237913 | parking/co2 | 0
2026-02-14 01:07:19.278037 | parking/spot1/status | FREE
2026-02-14 01:07:19.285643 | parking/spot1/type | NONE
2026-02-14 01:07:19.286486 | parking/co2 | 16
2026-02-14 01:07:20.326102 | parking/spot1/status | FREE
2026-02-14 01:07:20.339582 | parking/spot1/type | NONE
2026-02-14 01:07:20.340457 | parking/co2 | 0
2026-02-14 01:07:21.387228 | parking/spot1/status | FREE
2026-02-14 01:07:21.485679 | parking/spot1/type | NONE
2026-02-14 01:07:21.486533 | parking/co2 | 161
2026-02-14 01:07:22.438666 | parking/spot1/status | FREE
2026-02-14 01:07:22.445389 | parking/spot1/type | NONE
2026-02-14 01:07:22.446173 | parking/co2 | 128
2026-02-14 01:07:23.495785 | parking/spot1/status | FREE
2026-02-14 01:07:23.504050 | parking/spot1/type | NONE
2026-02-14 01:07:23.504802 | parking/co2 | 0
2026-02-14 01:07:24.553142 | parking/spot1/status | FREE
2026-02-14 01:07:24.560132 | parking/spot1/type | NONE
2026-02-14 01:07:24.560982 | parking/co2 | 0
2026-02-14 01:07:25.615649 | parking/spot1/status | FREE
2026-02-14 01:07:25.622182 | parking/spot1/type | NONE
2026-02-14 01:07:25.623033 | parking/co2 | 126
2026-02-14 01:07:26.678829 | parking/spot1/status | FREE
2026-02-14 01:07:26.689946 | parking/spot1/type | NONE
2026-02-14 01:07:26.690793 | parking/co2 | 123
2026-02-14 01:07:27.723393 | parking/spot1/status | FREE
2026-02-14 01:07:27.731216 | parking/spot1/type | NONE
2026-02-14 01:07:27.732425 | parking/co2 | 44
