2026-02-14 00:50:58.427224 | parking/spot1/status | FREE
2026-02-14 00:50:58.430855 | parking/spot1/type | NONE
2026-02-14 00:50:58.431354 | parking/co2 | 0
2026-02-14 00:50:59.481610 | parking/spot1/status | FREE
2026-02-14 00:50:59.487326 | parking/spot1/type | NONE
2026-02-14 00:50:59.488065 | parking/co2 | 194
2026-02-14 00:51:00.540539 | parking/spot1/status | FREE
2026-02-14 00:51:00.545716 | parking/spot1/type | NONE
2026-02-14 00:51:00.546496 | parking/co2 | 0
2026-02-14 00:51:01.602161 | parking/spot1/status | FREE
2026-02-14 00:51:01.603005 | parking/spot1/type | NONE
2026-02-14 00:51:01.603625 | parking/co2 | 91
2026-02-14 00:51:02.657623 | parking/spot1/status | FREE
2026-02-14 00:51:02.755880 | parking/spot1/type | NONE
2026-02-14 00:51:02.756675 | parking/co2 | 162
2026-02-14 00:51:03.745910 | parking/spot1/status | FREE
2026-02-14 00:51:03.771043 | parking/spot1/type | NONE
2026-02-14 00:51:03.772710 | parking/co2 | 239
2026-02-14 00:51:04.776073 | parking/spot1/status | FREE
2026-02-14 00:51:04.798526 | parking/spot1/type | NONE
2026-02-14 00:51:04.799460 | parking/co2 | 64
2026-02-14 00:51:05.827628 | parking/spot1/status | FREE
2026-02-14 00:51:05.835321 | parking/spot1/type | NONE
2026-02-14 00:51:05.836157 | parking/co2 | 80
2026-02-14 00:51:06.882439 | parking/spot1/status | FREE
2026-02-14 00:51:06.893159 | parking/spot1/type | NONE
2026-02-14 00:51:06.894015 | parking/co2 | 9
2026-02-14 00:51:07.966736 | parking/spot1/status | FREE
2026-02-14 00:51:08.006471 | parking/spot1/type | NONE
2026-02-14 00:51:08.007234 | parking/co2 | 0
2026-02-14 00:51:09.008965 | parking/spot1/status | FREE
2026-02-14 00:51:09.016558 | parking/spot1/type | NONE
2026-02-14 00:51:09.017346 | parking/co2 | 125
2026-02-14 00:51:10.069570 | parking/spot1/status | FREE
2026-02-14 00:51:10.076891 | parking/spot1/type | NONE
2026-02-14 00:51:10.077671 | parking/co2 | 0
2026-02-14 00:51:11.113268 | parking/spot1/status | FREE
2026-02-14 00:51:11.127483 | parking/spot1/type | NONE
2026-02-14 00:51:11.128320 | parking/co2 | 176
2026-02-14 00:51:12.169624 | parking/spot1/status | FREE
2026-02-14 00:51:12.184190 | parking/spot1/type | NONE
2026-02-14 00:51:12.185029 | parking/co2 | 0
2026-02-14 00:51:13.231394 | parking/spot1/status | FREE
2026-02-14 00:51:13.243827 | parking/spot1/type | NONE
2026-02-14 00:51:13.244682 | parking/co2 | 0
2026-02-14 00:51:14.284270 | parking/spot1/status | FREE
2026-02-14 00:51:14.289699 | parking/spot1/type | NONE
2026-02-14 00:51:14.290532 | parking/co2 | 0
2026-02-14 00:51:15.341289 | parking/spot1/status | FREE
2026-02-14 00:51:15.354815 | parking/spot1/type | NONE
2026-02-14 00:51:15.355802 | parking/co2 | 69
2026-02-14 00:51:16.406214 | parking/spot1/status | FREE
2026-02-14 00:51:16.413450 | parking/spot1/type | NONE
2026-02-14 00:51:16.414299 | parking/co2 | 209
2026-02-14 00:51:17.457286 | parking/spot1/status | FREE
2026-02-14 00:51:17.464155 | parking/spot1/type | NONE
2026-02-14 00:51:17.464912 | parking/co2 | 173
2026-02-14 00:51:18.510815 | parking/spot1/status | FREE
2026-02-14 00:51:18.565326 | parking/spot1/type | NONE
2026-02-14 00:51:18.566176 | parking/co2 | 0
2026-02-14 00:51:19.571524 | parking/spot1/status | FREE
2026-02-14 00:51:19.578516 | parking/spot1/type | NONE
2026-02-14 00:51:19.579493 | parking/co2 | 202
2026-02-14 00:51:20.656812 | parking/spot1/status | FREE
2026-02-14 00:51:20.680216 | parking/spot1/type | NONE
2026-02-14 00:51:20.681088 | parking/co2 | 258
2026-02-14 00:51:21.688745 | parking/spot1/status | FREE
2026-02-14 00:51:21.709987 | parking/spot1/type | NONE
2026-02-14 00:51:21.710841 | parking/co2 | 210
2026-02-14 00:51:22.743214 | parking/spot1/status | FREE
2026-02-14 00:51:22.751093 | parking/spot1/type | NONE
2026-02-14 00:51:22.751947 | parking/co2 | 16
2026-02-14 00:51:23.800111 | parking/spot1/status | FREE
2026-02-14 00:51:23.805524 | parking/spot1/type | NONE
2026-02-14 00:51:23.806238 | parking/co2 | 0
2026-02-14 00:51:24.861941 | parking/spot1/status | FREE
2026-02-14 00:51:24.876657 | parking/spot1/type | NONE
2026-02-14 00:51:24.877520 | parking/co2 | 16
2026-02-14 00:51:25.913916 | parking/spot1/status | FREE
2026-02-14 00:51:25.919825 | parking/spot1/type | NONE
2026-02-14 00:51:25.920736 | parking/co2 | 0
2026-02-14 00:51:26.986866 | parking/spot1/status | FREE
2026-02-14 00:51:26.993443 | parking/spot1/type | NONE
2026-02-14 00:51:26.994272 | parking/co2 | 43
2026-02-14 00:51:28.028082 | parking/spot1/status | FREE
2026-02-14 00:51:28.033367 | parking/spot1/type | NONE
2026-02-14 00:51:28.034208 | parking/co2 | 255
2026-02-14 00:51:29.085136 | parking/spot1/status | FREE
2026-02-14 00:51:29.090701 | parking/spot1/type | NONE
2026-02-14 00:51:29.091530 | parking/co2 | 227
2026-02-14 00:51:30.147472 | parking/spot1/status | FREE
2026-02-14 00:51:30.152883 | parking/spot1/type | NONE
2026-02-14 00:51:30.153753 | parking/co2 | 0
2026-02-14 00:51:31.383731 | parking/spot1/status | FREE
2026-02-14 00:51:31.387765 | parking/spot1/type | NONE
2026-02-14 00:51:31.388779 | parking/co2 | 29
2026-02-14 00:51:32.269497 | parking/spot1/status | FREE
2026-02-14 00:51:32.280350 | parking/spot1/type | NONE
2026-02-14 00:51:32.281187 | parking/co2 | 251
2026-02-14 00:51:33.313093 | parking/spot1/status | FREE
2026-02-14 00:51:33.317296 | parking/spot1/type | NONE
2026-02-14 00:51:33.318125 | parking/co2 | 75
2026-02-14 00:51:34.371670 | parking/spot1/status | FREE
2026-02-14 00:51:34.378365 | parking/spot1/type | NONE
2026-02-14 00:51:34.379341 | parking/co2 | 209
2026-02-14 00:51:35.564297 | parking/spot1/status | FREE
2026-02-14 00:51:35.633455 | parking/spot1/type | NONE
2026-02-14 00:51:35.634339 | parking/co2 | 0
2026-02-14 00:51:36.507855 | parking/spot1/status | FREE
2026-02-14 00:51:36.522540 | parking/spot1/type | NONE
2026-02-14 00:51:36.523429 | parking/co2 | 0
2026-02-14 00:51:37.549612 | parking/spot1/status | FREE
2026-02-14 00:51:37.560627 | parking/spot1/type | NONE
2026-02-14 00:51:37.561478 | parking/co2 | 0
2026-02-14 00:51:38.601472 | parking/spot1/status | FREE
2026-02-14 00:51:38.608741 | parking/spot1/type | NONE
2026-02-14 00:51:38.609620 | parking/co2 | 0
2026-02-14 00:51:39.656520 | parking/spot1/status | FREE
2026-02-14 00:51:39.661637 | parking/spot1/type | NONE
2026-02-14 00:51:39.662494 | parking/co2 | 0
2026-02-14 00:51:40.825418 | parking/spot1/status | FREE
2026-02-14 00:51:40.846143 | parking/spot1/type | NONE
2026-02-14 00:51:40.847025 | parking/co2 | 7
2026-02-14 00:51:42.591310 | parking/spot1/status | FREE
2026-02-14 00:51:42.760159 | parking/spot1/type | NONE
2026-02-14 00:51:42.761265 | parking/co2 | 114
2026-02-14 00:51:42.846986 | parking/spot1/status | FREE
2026-02-14 00:51:42.851315 | parking/spot1/type | NONE
2026-02-14 00:51:42.852152 | parking/co2 | 16
2026-02-14 00:51:43.884343 | parking/spot1/status | FREE
2026-02-14 00:51:43.888544 | parking/spot1/type | NONE
2026-02-14 00:51:43.889526 | parking/co2 | 0
2026-02-14 00:51:44.944354 | parking/spot1/status | FREE
2026-02-14 00:51:44.954399 | parking/spot1/type | NONE
2026-02-14 00:51:44.955252 | parking/co2 | 0
2026-02-14 00:51:46.002488 | parking/spot1/status | FREE
2026-02-14 00:51:46.016341 | parking/spot1/type | NONE
2026-02-14 00:51:46.017191 | parking/co2 | 64
2026-02-14 00:51:47.055227 | parking/spot1/status | FREE
2026-02-14 00:51:47.061006 | parking/spot1/type | NONE
2026-02-14 00:51:47.061849 | parking/co2 | 0
2026-02-14 00:51:48.109028 | parking/spot1/status | FREE
2026-02-14 00:51:48.134236 | parking/spot1/type | NONE
2026-02-14 00:51:48.135115 | parking/co2 | 162
2026-02-14 00:51:49.169355 | parking/spot1/status | FREE
2026-02-14 00:51:49.175932 | parking/spot1/type | NONE
2026-02-14 00:51:49.177193 | parking/co2 | 224
2026-02-14 00:51:50.223623 | parking/spot1/status | FREE
2026-02-14 00:51:50.228033 | parking/spot1/type | NONE
2026-02-14 00:51:50.228981 | parking/co2 | 106
2026-02-14 00:51:51.346277 | parking/spot1/status | FREE
2026-02-14 00:51:51.354773 | parking/spot1/type | NONE
2026-02-14 00:51:51.355765 | parking/co2 | 0
2026-02-14 00:51:52.383958 | parking/spot1/status | FREE
2026-02-14 00:51:52.523928 | parking/spot1/type | NONE
2026-02-14 00:51:52.524793 | parking/co2 | 0
2026-02-14 00:51:53.399629 | parking/spot1/status | FREE
2026-02-14 00:51:53.404625 | parking/spot1/type | NONE
2026-02-14 00:51:53.405484 | parking/co2 | 201
2026-02-14 00:51:54.456577 | parking/spot1/status | FREE
2026-02-14 00:51:54.462832 | parking/spot1/type | NONE
2026-02-14 00:51:54.463676 | parking/co2 | 165
2026-02-14 00:51:55.510128 | parking/spot1/status | FREE
2026-02-14 00:51:55.514992 | parking/spot1/type | NONE
2026-02-14 00:51:55.515778 | parking/co2 | 232
2026-02-14 00:51:56.581099 | parking/spot1/status | FREE
2026-02-14 00:51:56.590496 | parking/spot1/type | NONE
2026-02-14 00:51:56.591334 | parking/co2 | 138
2026-02-14 00:51:57.627197 | parking/spot1/status | FREE
2026-02-14 00:51:57.632928 | parking/spot1/type | NONE
2026-02-14 00:51:57.633762 | parking/co2 | 255
2026-02-14 00:51:58.684054 | parking/spot1/status | FREE
2026-02-14 00:51:58.690674 | parking/spot1/type | NONE
2026-02-14 00:51:58.691505 | parking/co2 | 179
2026-02-14 00:51:59.741159 | parking/spot1/status | FREE
2026-02-14 00:51:59.746193 | parking/spot1/type | NONE
2026-02-14 00:51:59.749815 | parking/co2 | 53
2026-02-14 00:52:00.799071 | parking/spot1/status | FREE
2026-02-14 00:52:00.804681 | parking/spot1/type | NONE
2026-02-14 00:52:00.805464 | parking/co2 | 128
2026-02-14 00:52:01.856026 | parking/spot1/status | FREE
2026-02-14 00:52:01.877711 | parking/spot1/type | NONE
2026-02-14 00:52:01.878547 | parking/co2 | 54
2026-02-14 00:52:02.912524 | parking/spot1/status | FREE
2026-02-14 00:52:02.918198 | parking/spot1/type | NONE
2026-02-14 00:52:02.919082 | parking/co2 | 42
2026-02-14 00:52:03.969263 | parking/spot1/status | FREE
2026-02-14 00:52:03.974909 | parking/spot1/type | NONE
2026-02-14 00:52:03.976022 | parking/co2 | 173
2026-02-14 00:52:05.026880 | parking/spot1/status | FREE
2026-02-14 00:52:05.034501 | parking/spot1/type | NONE
2026-02-14 00:52:05.035383 | parking/co2 | 202
2026-02-14 00:52:06.082544 | parking/spot1/status | FREE
2026-02-14 00:52:06.092495 | parking/spot1/type | NONE
2026-02-14 00:52:06.093413 | parking/co2 | 179
2026-02-14 00:52:07.164980 | parking/spot1/status | FREE
2026-02-14 00:52:07.172988 | parking/spot1/type | NONE
2026-02-14 00:52:07.173839 | parking/co2 | 186
2026-02-14 00:52:08.202446 | parking/spot1/status | FREE
2026-02-14 00:52:08.217781 | parking/spot1/type | NONE
2026-02-14 00:52:08.219140 | parking/co2 | 130
2026-02-14 00:52:09.250927 | parking/spot1/status | FREE
2026-02-14 00:52:09.420441 | parking/spot1/type | NONE
2026-02-14 00:52:09.421367 | parking/co2 | 96
2026-02-14 00:52:10.317222 | parking/spot1/status | FREE
2026-02-14 00:52:10.324015 | parking/spot1/type | NONE
2026-02-14 00:52:10.324907 | parking/co2 | 239
2026-02-14 00:52:11.374759 | parking/spot1/status | FREE
2026-02-14 00:52:11.414162 | parking/spot1/type | NONE
2026-02-14 00:52:11.415218 | parking/co2 | 0
2026-02-14 00:52:12.426881 | parking/spot1/status | FREE
2026-02-14 00:52:12.436130 | parking/spot1/type | NONE
2026-02-14 00:52:12.436888 | parking/co2 | 250
2026-02-14 00:52:13.483929 | parking/spot1/status | FREE
2026-02-14 00:52:13.500075 | parking/spot1/type | NONE
2026-02-14 00:52:13.500845 | parking/co2 | 175
2026-02-14 00:52:14.547406 | parking/spot1/status | FREE
2026-02-14 00:52:14.555176 | parking/spot1/type | NONE
2026-02-14 00:52:14.556023 | parking/co2 | 0
2026-02-14 00:52:15.598244 | parking/spot1/status | FREE
2026-02-14 00:52:15.603091 | parking/spot1/type | NONE
2026-02-14 00:52:15.604232 | parking/co2 | 207
2026-02-14 00:52:16.675088 | parking/spot1/status | FREE
2026-02-14 00:52:16.713906 | parking/spot1/type | NONE
2026-02-14 00:52:16.714781 | parking/co2 | 181
2026-02-14 00:52:17.717343 | parking/spot1/status | FREE
2026-02-14 00:52:17.724101 | parking/spot1/type | NONE
2026-02-14 00:52:17.724942 | parking/co2 | 170
2026-02-14 00:52:18.771467 | parking/spot1/status | FREE
2026-02-14 00:52:18.778959 | parking/spot1/type | NONE
2026-02-14 00:52:18.779829 | parking/co2 | 0
2026-02-14 00:52:19.825425 | parking/spot1/status | FREE
2026-02-14 00:52:19.829346 | parking/spot1/type | NONE
2026-02-14 00:52:19.830224 | parking/co2 | 38
2026-02-14 00:52:20.885015 | parking/spot1/status | FREE
2026-02-14 00:52:20.892665 | parking/spot1/type | NONE
2026-02-14 00:52:20.893535 | parking/co2 | 37
2026-02-14 00:52:21.944871 | parking/spot1/status | FREE
2026-02-14 00:52:21.955631 | parking/spot1/type | NONE
2026-02-14 00:52:21.956471 | parking/co2 | 175
2026-02-14 00:52:22.999875 | parking/spot1/status | FREE
2026-02-14 00:52:23.005578 | parking/spot1/type | NONE
2026-02-14 00:52:23.006352 | parking/co2 | 82
2026-02-14 00:52:24.054077 | parking/spot1/status | FREE
2026-02-14 00:52:24.064711 | parking/spot1/type | NONE
2026-02-14 00:52:24.065553 | parking/co2 | 231
2026-02-14 00:52:25.132241 | parking/spot1/status | FREE
2026-02-14 00:52:25.136224 | parking/spot1/type | NONE
2026-02-14 00:52:25.137008 | parking/co2 | 77
2026-02-14 00:52:26.170386 | parking/spot1/status | FREE
2026-02-14 00:52:26.258971 | parking/spot1/type | NONE
2026-02-14 00:52:26.259811 | parking/co2 | 239
2026-02-14 00:52:27.228895 | parking/spot1/status | FREE
2026-02-14 00:52:27.238786 | parking/spot1/type | NONE
2026-02-14 00:52:27.239666 | parking/co2 | 0
2026-02-14 00:52:28.284040 | parking/spot1/status | FREE
2026-02-14 00:52:28.293340 | parking/spot1/type | NONE
2026-02-14 00:52:28.294163 | parking/co2 | 16
2026-02-14 00:52:29.340407 | parking/spot1/status | FREE
2026-02-14 00:52:29.346128 | parking/spot1/type | NONE
2026-02-14 00:52:29.346561 | parking/co2 | 93
2026-02-14 00:52:30.398559 | parking/spot1/status | FREE
2026-02-14 00:52:30.405725 | parking/spot1/type | NONE
2026-02-14 00:52:30.406507 | parking/co2 | 213
2026-02-14 00:52:31.462270 | parking/spot1/status | FREE
2026-02-14 00:52:31.472473 | parking/spot1/type | NONE
2026-02-14 00:52:31.473305 | parking/co2 | 203
2026-02-14 00:52:32.511971 | parking/spot1/status | FREE
2026-02-14 00:52:32.521438 | parking/spot1/type | NONE
2026-02-14 00:52:32.522264 | parking/co2 | 96
2026-02-14 00:52:33.573156 | parking/spot1/status | FREE
2026-02-14 00:52:33.583446 | parking/spot1/type | NONE
2026-02-14 00:52:33.584274 | parking/co2 | 251
2026-02-14 00:52:34.627980 | parking/spot1/status | FREE
2026-02-14 00:52:34.638229 | parking/spot1/type | NONE
2026-02-14 00:52:34.639176 | parking/co2 | 154
2026-02-14 00:52:35.689544 | parking/spot1/status | FREE
2026-02-14 00:52:35.696332 | parking/spot1/type | NONE
2026-02-14 00:52:35.697112 | parking/co2 | 149
2026-02-14 00:52:36.740065 | parking/spot1/status | FREE
2026-02-14 00:52:36.755653 | parking/spot1/type | NONE
2026-02-14 00:52:36.756506 | parking/co2 | 0
2026-02-14 00:52:37.793890 | parking/spot1/status | FREE
2026-02-14 00:52:37.800177 | parking/spot1/type | NONE
